transaction_id,date,time,location_id,SKU,quantity,is_member,customer_id,total_with_tax,tax
1333,2022-12-21,9:07:04,5,fjl3q,2,true,96,0.40,"0.07                                  "
1333,2022-12-21,9:07:04,1,1m6s7,5,true,96,11.00,"1.83                                "
1332,2022-12-14,19:46:41,4,xfjts,4,true,93,0.80,"0.13                                "
1332,2022-12-14,19:46:41,4,ttyc7,3,true,93,7.20,"1.20                                "
1332,2022-12-14,19:46:41,1,e02d7,4.15,true,93,0.42,"0.07                             "
1331,2022-12-14,16:29:14,2,e02d7,4.18,true,92,0.42,"0.07                             "
1331,2022-12-14,16:29:14,3,9gc8o,2,true,92,11.00,"1.83                               "
1330,2022-12-08,18:00:19,3,iu8mz,1.83,false,0,3.66,"0.61                             "
1329,2022-12-07,18:52:35,3,1m6s7,2,true,40,4.40,"0.73                                "
1329,2022-12-07,18:52:35,4,cdue8,4,true,40,0.80,"0.13                                "
1328,2022-12-24,12:24:06,1,xfjts,2,false,0,0.40,"0.07                                "
1328,2022-12-24,12:24:06,1,ttyc7,5,false,0,12.00,"2.00                               "
1327,2022-12-26,12:03:19,5,j0ayn,4,true,55,6.00,"1.00                                 "
1327,2022-12-26,12:03:19,3,1m6s7,5,true,55,11.00,"1.83                               "
1327,2022-12-26,12:03:19,1,fjl3q,4,true,55,0.80,"0.13                                "
1327,2022-12-26,12:03:19,2,ck5sb,4,true,55,6.80,"1.13                                "
1327,2022-12-26,12:03:19,2,osv5f,4,true,55,8.00,"1.33                                "
1326,2022-12-08,13:57:56,3,osv5f,3,true,58,6.00,"1.00                                 "
1326,2022-12-08,13:57:56,5,qbzh7,2,true,58,5.00,"0.83                                "
1326,2022-12-08,13:57:56,2,sm0ik,5,true,58,6.00,"1.00                                "
1326,2022-12-08,13:57:56,2,cdue8,5,true,58,1.00,"0.17                                "
1326,2022-12-08,13:57:56,4,qbzh7,4,true,58,10.00,"1.67                               "
1326,2022-12-08,13:57:56,3,hw422,5,true,58,7.00,"1.17                                "
1325,2022-12-14,10:31:47,3,e02d7,2.25,false,0,0.23,"0.04                             "
1325,2022-12-14,10:31:47,4,1m6s7,3,false,0,6.60,"1.10                                "
1325,2022-12-14,10:31:47,3,qbzh7,5,false,0,12.50,"2.08                               "
1325,2022-12-14,10:31:47,3,9gc8o,4,false,0,22.00,"3.67                               "
1324,2022-12-18,12:40:33,1,ck5sb,2,true,10,3.40,"0.57                                "
1324,2022-12-18,12:40:33,5,bau61,3,true,10,0.60,"0.10                                "
1323,2022-12-10,11:41:35,3,fjl3q,4,false,0,0.80,"0.13                                 "
1323,2022-12-10,11:41:35,4,qbzh7,3,false,0,7.50,"1.25                                 "
1323,2022-12-10,11:41:35,4,ck5sb,5,false,0,8.50,"1.42                                "
1323,2022-12-10,11:41:35,2,j0ayn,5,false,0,7.50,"1.25                                "
1323,2022-12-10,11:41:35,1,j0ayn,5,false,0,7.50,"1.25                                "
1323,2022-12-10,11:41:35,4,qmqeu,5,false,0,13.00,"2.17                               "
1322,2022-12-27,12:12:45,5,jv78l,3,true,21,3.90,"0.65                                "
1322,2022-12-27,12:12:45,1,bau61,5,true,21,1.00,"0.17                                "
1322,2022-12-27,12:12:45,1,9gc8o,3,true,21,16.50,"2.75                              "
1321,2022-12-12,19:40:59,3,ypf75,1.08,true,74,2.70,"0.45                             "
1320,2022-12-07,9:50:21,2,xfjts,5,false,0,1.00,"0.17                                 "
1320,2022-12-07,9:50:21,3,1m6s7,4,false,0,8.80,"1.47                                 "
1319,2022-12-15,11:15:48,4,hw422,5,false,0,7.00,"1.17                                "
1319,2022-12-15,11:15:48,1,osv5f,4,false,0,8.00,"1.33                                "
1318,2022-12-07,17:26:15,1,skexy,2,false,0,6.00,"1.00                                "
1318,2022-12-07,17:26:15,2,qbzh7,3,false,0,7.50,"1.25                                "
1318,2022-12-07,17:26:15,2,bau61,3,false,0,0.60,"0.10                                "
1318,2022-12-07,17:26:15,4,hw422,4,false,0,5.60,"0.93                                "
1317,2022-12-04,10:31:39,3,iu8mz,1.03,true,93,2.06,"0.34                              "
1317,2022-12-04,10:31:39,4,9gc8o,3,true,93,16.50,"2.75                                "
1317,2022-12-04,10:31:39,4,skexy,2,true,93,6.00,"1.00                                "
1317,2022-12-04,10:31:39,1,iu8mz,2.26,true,93,4.52,"0.75                             "
1317,2022-12-04,10:31:39,2,xfjts,4,true,93,0.80,"0.13                                "
1316,2022-12-22,17:33:02,5,ck5sb,4,true,48,6.80,"1.13                                 "
1315,2022-12-02,10:50:24,2,qbzh7,2,true,51,5.00,"0.83                                "
1315,2022-12-02,10:50:24,2,qbzh7,3,true,51,7.50,"1.25                                "
1315,2022-12-02,10:50:24,4,fjl3q,4,true,51,0.80,"0.13                                "
1315,2022-12-02,10:50:24,3,9gc8o,5,true,51,27.50,"4.58                               "
1314,2022-12-07,15:24:28,2,ck5sb,4,true,62,6.80,"1.13                                "
1314,2022-12-07,15:24:28,2,j0ayn,5,true,62,7.50,"1.25                                "
1314,2022-12-07,15:24:28,2,xfjts,2,true,62,0.40,"0.07                                "
1314,2022-12-07,15:24:28,4,j0ayn,3,true,62,4.50,"0.75                                "
1314,2022-12-07,15:24:28,1,qbzh7,2,true,62,5.00,"0.83                                "
1314,2022-12-07,15:24:28,3,ck5sb,5,true,62,8.50,"1.42                                "
1314,2022-12-07,15:24:28,5,9gc8o,3,true,62,16.50,"2.75                               "
1313,2022-12-24,18:50:04,1,qmqeu,5,true,78,13.00,"2.17                               "
1313,2022-12-24,18:50:04,2,e02d7,3.34,true,78,0.33,"0.05                             "
1312,2022-12-04,15:29:07,4,ypf75,2.27,true,33,5.67,"0.94                             "
1312,2022-12-04,15:29:07,1,1m6s7,4,true,33,8.80,"1.47                                "
1312,2022-12-04,15:29:07,1,jv78l,4,true,33,5.20,"0.87                                "
1311,2022-12-10,19:09:57,2,jv78l,3,true,12,3.90,"0.65                                "
1311,2022-12-10,19:09:57,3,bau61,4,true,12,0.80,"0.13                                "
1311,2022-12-10,19:09:57,5,1m6s7,3,true,12,6.60,"1.10                                "
1311,2022-12-10,19:09:57,2,j0ayn,3,true,12,4.50,"0.75                                "
1311,2022-12-10,19:09:57,4,xfjts,5,true,12,1.00,"0.17                                "
1310,2022-12-18,17:51:03,4,qbzh7,5,false,0,12.50,"2.08                               "
1310,2022-12-18,17:51:03,1,ttyc7,2,false,0,4.80,"0.80                                "
1309,2022-12-08,15:27:07,3,9gc8o,5,false,0,27.50,"4.58                                "
1309,2022-12-08,15:27:07,5,9gc8o,2,false,0,11.00,"1.83                               "
1309,2022-12-08,15:27:07,4,osv5f,5,false,0,10.00,"1.67                               "
1309,2022-12-08,15:27:07,4,e02d7,3.32,false,0,0.33,"0.05                             "
1308,2022-12-07,11:00:16,5,qbzh7,5,true,9,12.50,"2.08                                "
1307,2022-12-22,11:56:42,4,ysrak,2,false,0,4.60,"0.77                                 "
1307,2022-12-22,11:56:42,2,qmqeu,2,false,0,5.20,"0.87                                "
1307,2022-12-22,11:56:42,5,xfjts,4,false,0,0.80,"0.13                                "
1307,2022-12-22,11:56:42,3,xfjts,4,false,0,0.80,"0.13                                "
1307,2022-12-22,11:56:42,2,hw422,5,false,0,7.00,"1.17                                "
1307,2022-12-22,11:56:42,3,ypf75,3.48,false,0,8.70,"1.45                             "
1307,2022-12-22,11:56:42,5,e02d7,3.87,false,0,0.39,"0.07                             "
1306,2022-12-19,8:18:03,3,jv78l,5,false,0,6.50,"1.08                                 "
1306,2022-12-19,8:18:03,4,ttyc7,2,false,0,4.80,"0.80                                 "
1305,2022-12-21,14:18:38,2,jv78l,2,true,87,2.60,"0.43                                "
1305,2022-12-21,14:18:38,1,j0ayn,2,true,87,3.00,"0.50                                "
1305,2022-12-21,14:18:38,1,fjl3q,2,true,87,0.40,"0.07                                "
1304,2022-12-15,17:22:21,3,qbzh7,5,true,63,12.50,"2.08                               "
1304,2022-12-15,17:22:21,3,sm0ik,5,true,63,6.00,"1.00                                "
1304,2022-12-15,17:22:21,3,skexy,4,true,63,12.00,"2.00                               "
1303,2022-12-19,16:10:31,4,ck5sb,3,false,0,5.10,"0.85                                "
1303,2022-12-19,16:10:31,3,ypf75,2.49,false,0,6.23,"1.04                             "
1303,2022-12-19,16:10:31,1,ttyc7,3,false,0,7.20,"1.20                                "
1303,2022-12-19,16:10:31,2,sm0ik,2,false,0,2.40,"0.40                                "
1302,2022-12-25,9:37:33,5,1m6s7,5,false,0,11.00,"1.83                                "
1302,2022-12-25,9:37:33,4,osv5f,3,false,0,6.00,"1.00                                 "
1301,2022-12-05,12:41:35,2,qmqeu,5,false,0,13.00,"2.17                               "
1301,2022-12-05,12:41:35,2,ysrak,5,false,0,11.50,"1.92                               "
1301,2022-12-05,12:41:35,5,xfjts,4,false,0,0.80,"0.13                                "
1300,2022-12-10,15:46:59,3,xfjts,4,false,0,0.80,"0.13                                "
1300,2022-12-10,15:46:59,4,hw422,4,false,0,5.60,"0.93                                "
1300,2022-12-10,15:46:59,5,qbzh7,5,false,0,12.50,"2.08                               "
1299,2022-12-28,12:41:49,2,cdue8,5,false,0,1.00,"0.17                                "
1299,2022-12-28,12:41:49,5,fjl3q,3,false,0,0.60,"0.10                                "
1299,2022-12-28,12:41:49,3,9gc8o,2,false,0,11.00,"1.83                               "
1298,2022-12-03,9:11:12,3,qmqeu,3,true,79,7.80,"1.30                                  "
1298,2022-12-03,9:11:12,3,j0ayn,2,true,79,3.00,"0.50                                 "
1298,2022-12-03,9:11:12,5,skexy,2,true,79,6.00,"1.00                                 "
1298,2022-12-03,9:11:12,4,jv78l,4,true,79,5.20,"0.87                                 "
1297,2022-12-19,11:44:59,3,ypf75,3.85,true,1,9.63,"1.61                               "
1297,2022-12-19,11:44:59,1,hw422,5,true,1,7.00,"1.17                                 "
1297,2022-12-19,11:44:59,4,qmqeu,5,true,1,13.00,"2.17                                "
1297,2022-12-19,11:44:59,2,bau61,4,true,1,0.80,"0.13                                 "
1297,2022-12-19,11:44:59,2,fjl3q,2,true,1,0.40,"0.07                                 "
1296,2022-12-30,11:48:29,2,1m6s7,5,false,0,11.00,"1.83                                "
1296,2022-12-30,11:48:29,3,ysrak,5,false,0,11.50,"1.92                               "
1296,2022-12-30,11:48:29,2,iu8mz,3.92,false,0,7.84,"1.31                             "
1295,2022-12-08,14:03:34,2,bau61,2,true,65,0.40,"0.07                                "
1295,2022-12-08,14:03:34,3,cdue8,4,true,65,0.80,"0.13                                "
1294,2022-12-09,15:15:30,2,1m6s7,5,true,81,11.00,"1.83                               "
1294,2022-12-09,15:15:30,1,fjl3q,3,true,81,0.60,"0.10                                "
1293,2022-12-17,14:31:46,5,1m6s7,5,false,0,11.00,"1.83                               "
1293,2022-12-17,14:31:46,1,iu8mz,1.98,false,0,3.96,"0.66                             "
1293,2022-12-17,14:31:46,2,ck5sb,2,false,0,3.40,"0.57                                "
1293,2022-12-17,14:31:46,5,iu8mz,3.96,false,0,7.92,"1.32                             "
1292,2022-12-18,16:23:40,2,ck5sb,4,false,0,6.80,"1.13                                 "
1292,2022-12-18,16:23:40,5,skexy,5,false,0,15.00,"2.50                               "
1292,2022-12-18,16:23:40,4,hw422,4,false,0,5.60,"0.93                                "
1292,2022-12-18,16:23:40,5,xfjts,4,false,0,0.80,"0.13                                "
1291,2022-12-03,14:17:50,5,jv78l,2,true,57,2.60,"0.43                                 "
1291,2022-12-03,14:17:50,1,skexy,4,true,57,12.00,"2.00                               "
1291,2022-12-03,14:17:50,4,qbzh7,2,true,57,5.00,"0.83                                "
1291,2022-12-03,14:17:50,1,xfjts,3,true,57,0.60,"0.10                                "
1290,2022-12-03,18:25:18,1,osv5f,4,true,64,8.00,"1.33                                "
1290,2022-12-03,18:25:18,5,qbzh7,3,true,64,7.50,"1.25                                "
1290,2022-12-03,18:25:18,2,osv5f,5,true,64,10.00,"1.67                               "
1289,2022-12-14,14:34:34,5,sm0ik,2,true,7,2.40,"0.40                                 "
1289,2022-12-14,14:34:34,5,jv78l,4,true,7,5.20,"0.87                                 "
1289,2022-12-14,14:34:34,3,osv5f,3,true,7,6.00,"1.00                                 "
1288,2022-12-16,14:16:19,2,osv5f,2,false,0,4.00,"0.67                                "
1288,2022-12-16,14:16:19,4,ttyc7,4,false,0,9.60,"1.60                                "
1288,2022-12-16,14:16:19,4,e02d7,1.04,false,0,0.10,"0.02                             "
1288,2022-12-16,14:16:19,3,osv5f,5,false,0,10.00,"1.67                               "
1287,2022-12-12,11:45:06,5,ck5sb,5,true,46,8.50,"1.42                                "
1287,2022-12-12,11:45:06,3,jv78l,2,true,46,2.60,"0.43                                "
1287,2022-12-12,11:45:06,4,hw422,4,true,46,5.60,"0.93                                "
1287,2022-12-12,11:45:06,3,xfjts,4,true,46,0.80,"0.13                                "
1287,2022-12-12,11:45:06,1,xfjts,5,true,46,1.00,"0.17                                "
1286,2022-12-03,12:24:27,1,qmqeu,5,false,0,13.00,"2.17                                "
1286,2022-12-03,12:24:27,5,bau61,5,false,0,1.00,"0.17                                "
1285,2022-12-05,11:10:34,2,jv78l,2,false,0,2.60,"0.43                                "
1285,2022-12-05,11:10:34,3,cdue8,5,false,0,1.00,"0.17                                "
1285,2022-12-05,11:10:34,3,bau61,2,false,0,0.40,"0.07                                "
1285,2022-12-05,11:10:34,2,1m6s7,3,false,0,6.60,"1.10                                "
1285,2022-12-05,11:10:34,5,bau61,3,false,0,0.60,"0.10                                "
1285,2022-12-05,11:10:34,2,1m6s7,3,false,0,6.60,"1.10                                "
1284,2022-12-14,16:08:24,3,e02d7,2.9,false,0,0.29,"0.05                               "
1284,2022-12-14,16:08:24,3,xfjts,3,false,0,0.60,"0.10                                "
1284,2022-12-14,16:08:24,1,xfjts,3,false,0,0.60,"0.10                                "
1282,2022-12-20,8:59:11,2,e02d7,2.27,false,0,0.23,"0.04                              "
1282,2022-12-20,8:59:11,4,jv78l,5,false,0,6.50,"1.08                                 "
1281,2022-12-16,19:18:54,3,skexy,3,true,16,9.00,"1.50                                "
1281,2022-12-16,19:18:54,4,qbzh7,4,true,16,10.00,"1.67                               "
1280,2022-12-09,16:04:25,2,9gc8o,2,false,0,11.00,"1.83                                "
1280,2022-12-09,16:04:25,1,qbzh7,2,false,0,5.00,"0.83                                "
1279,2022-12-11,13:00:07,1,xfjts,4,false,0,0.80,"0.13                                "
1279,2022-12-11,13:00:07,4,iu8mz,4.27,false,0,8.54,"1.42                             "
1279,2022-12-11,13:00:07,1,ttyc7,3,false,0,7.20,"1.20                                "
1279,2022-12-11,13:00:07,1,ttyc7,3,false,0,7.20,"1.20                                "
1278,2022-12-01,10:06:54,4,ysrak,5,true,98,11.50,"1.92                                "
