id,SKU,location_id,stock,capacity
1,1m6s7,1,9,10
2,9gc8o,1,10,10
3,bau61,1,10,10
4,cdue8,1,10,10
5,ck5sb,1,13,20
6,e02d7,1,19,20
7,fjl3q,1,20,20
8,hw422,1,20,20
9,iu8mz,1,19,30
10,j0ayn,1,26,30
11,jv78l,1,30,30
12,osv5f,1,30,30
13,qbzh7,1,37,60
14,qmqeu,1,47,60
15,skexy,1,60,60
16,sm0ik,1,60,60
17,ttyc7,1,61,100
18,xfjts,1,75,100
19,ypf75,1,93,100
20,ysrak,1,100,100
21,1m6s7,2,7,10
22,9gc8o,2,10,10
23,bau61,2,10,10
24,cdue8,2,10,10
25,ck5sb,2,13,20
26,e02d7,2,19,20
27,fjl3q,2,20,20
28,hw422,2,20,20
29,iu8mz,2,19,30
30,j0ayn,2,26,30
31,jv78l,2,30,30
32,osv5f,2,30,30
33,qbzh7,2,37,60
34,qmqeu,2,47,60
35,skexy,2,60,60
36,sm0ik,2,60,60
37,ttyc7,2,61,100
38,xfjts,2,75,100
39,ypf75,2,93,100
40,ysrak,2,100,100
41,1m6s7,3,7,10
42,9gc8o,3,10,10
43,bau61,3,10,10
44,cdue8,3,10,10
45,ck5sb,3,13,20
46,e02d7,3,19,20
47,fjl3q,3,20,20
48,hw422,3,20,20
49,iu8mz,3,19,30
50,j0ayn,3,26,30
51,jv78l,3,30,30
52,osv5f,3,30,30
53,qbzh7,3,37,60
54,qmqeu,3,47,60
55,skexy,3,60,60
56,sm0ik,3,60,60
57,ttyc7,3,61,100
58,xfjts,3,75,100
59,ypf75,3,93,100
60,ysrak,3,100,100
61,1m6s7,4,13,20
62,9gc8o,4,19,20
63,bau61,4,20,20
64,cdue8,4,20,20
65,ck5sb,4,19,30
66,e02d7,4,26,30
67,fjl3q,4,30,30
68,hw422,4,30,30
69,iu8mz,4,31,50
70,j0ayn,4,40,50
71,jv78l,4,50,50
72,osv5f,4,50,50
73,qbzh7,4,61,100
74,qmqeu,4,75,100
75,skexy,4,93,100
76,sm0ik,4,100,100
77,ttyc7,4,121,200
78,xfjts,4,145,200
79,ypf75,4,173,200
80,ysrak,4,200,200
81,1m6s7,5,13,20
82,9gc8o,5,19,20
83,bau61,5,20,20
84,cdue8,5,20,20
85,ck5sb,5,19,30
86,e02d7,5,26,30
87,fjl3q,5,30,30
88,hw422,5,30,30
89,iu8mz,5,31,50
90,j0ayn,5,40,50
91,jv78l,5,50,50
92,osv5f,5,50,50
93,qbzh7,5,61,100
94,qmqeu,5,75,100
95,skexy,5,93,100
96,sm0ik,5,100,100
97,ttyc7,5,121,200
98,xfjts,5,145,200
99,ypf75,5,173,200
100,ysrak,5,200,200
