"record_id","transaction_id","date","time","location_id","SKU","quantity","is_member","customer_id","total_with_tax","tax"
"21","1333","2022-12-21","9:07:04","5","fjl3q","2","true","96","0.40","0.07"
"584","1333","2022-12-21","9:07:04","1","1m6s7","5","true","96","11.00","1.83"
"547","1332","2022-12-14","19:46:41","4","xfjts","4","true","93","0.80","0.13"
"641","1332","2022-12-14","19:46:41","4","ttyc7","3","true","93","7.20","1.20"
"740","1332","2022-12-14","19:46:41","1","e02d7","4.15","true","93","0.42","0.07"
"112","1331","2022-12-14","16:29:14","2","e02d7","4.18","true","92","0.42","0.07"
"560","1331","2022-12-14","16:29:14","3","9gc8o","2","true","92","11.00","1.83"
"961","1330","2022-12-08","18:00:19","3","iu8mz","1.83","false","0","3.66","0.61"
"421","1329","2022-12-07","18:52:35","3","1m6s7","2","true","40","4.40","0.73"
"978","1329","2022-12-07","18:52:35","4","cdue8","4","true","40","0.80","0.13"
"691","1328","2022-12-24","12:24:06","1","xfjts","2","false","0","0.40","0.07"
"980","1328","2022-12-24","12:24:06","1","ttyc7","5","false","0","12.00","2.00"
"55","1327","2022-12-26","12:03:19","5","j0ayn","4","true","55","6.00","1.00"
"147","1327","2022-12-26","12:03:19","3","1m6s7","5","true","55","11.00","1.83"
"236","1327","2022-12-26","12:03:19","1","fjl3q","4","true","55","0.80","0.13"
"671","1327","2022-12-26","12:03:19","2","ck5sb","4","true","55","6.80","1.13"
"842","1327","2022-12-26","12:03:19","2","osv5f","4","true","55","8.00","1.33"
"10","1326","2022-12-08","13:57:56","3","osv5f","3","true","58","6.00","1.00"
"585","1326","2022-12-08","13:57:56","5","qbzh7","2","true","58","5.00","0.83"
"747","1326","2022-12-08","13:57:56","2","sm0ik","5","true","58","6.00","1.00"
"898","1326","2022-12-08","13:57:56","2","cdue8","5","true","58","1.00","0.17"
"946","1326","2022-12-08","13:57:56","4","qbzh7","4","true","58","10.00","1.67"
"973","1326","2022-12-08","13:57:56","3","hw422","5","true","58","7.00","1.17"
"231","1325","2022-12-14","10:31:47","3","e02d7","2.25","false","0","0.23","0.04"
"287","1325","2022-12-14","10:31:47","4","1m6s7","3","false","0","6.60","1.10"
"693","1325","2022-12-14","10:31:47","3","qbzh7","5","false","0","12.50","2.08"
"762","1325","2022-12-14","10:31:47","3","9gc8o","4","false","0","22.00","3.67"
"872","1324","2022-12-18","12:40:33","1","ck5sb","2","true","10","3.40","0.57"
"991","1324","2022-12-18","12:40:33","5","bau61","3","true","10","0.60","0.10"
"53","1323","2022-12-10","11:41:35","3","fjl3q","4","false","0","0.80","0.13"
"96","1323","2022-12-10","11:41:35","4","qbzh7","3","false","0","7.50","1.25"
"243","1323","2022-12-10","11:41:35","4","ck5sb","5","false","0","8.50","1.42"
"398","1323","2022-12-10","11:41:35","2","j0ayn","5","false","0","7.50","1.25"
"648","1323","2022-12-10","11:41:35","1","j0ayn","5","false","0","7.50","1.25"
"896","1323","2022-12-10","11:41:35","4","qmqeu","5","false","0","13.00","2.17"
"165","1322","2022-12-27","12:12:45","5","jv78l","3","true","21","3.90","0.65"
"340","1322","2022-12-27","12:12:45","1","bau61","5","true","21","1.00","0.17"
"1000","1322","2022-12-27","12:12:45","1","9gc8o","3","true","21","16.50","2.75"
"378","1321","2022-12-12","19:40:59","3","ypf75","1.08","true","74","2.70","0.45"
"240","1320","2022-12-07","9:50:21","2","xfjts","5","false","0","1.00","0.17"
"967","1320","2022-12-07","9:50:21","3","1m6s7","4","false","0","8.80","1.47"
"176","1319","2022-12-15","11:15:48","4","hw422","5","false","0","7.00","1.17"
"875","1319","2022-12-15","11:15:48","1","osv5f","4","false","0","8.00","1.33"
"282","1318","2022-12-07","17:26:15","1","skexy","2","false","0","6.00","1.00"
"720","1318","2022-12-07","17:26:15","2","qbzh7","3","false","0","7.50","1.25"
"730","1318","2022-12-07","17:26:15","2","bau61","3","false","0","0.60","0.10"
"844","1318","2022-12-07","17:26:15","4","hw422","4","false","0","5.60","0.93"
"49","1317","2022-12-04","10:31:39","3","iu8mz","1.03","true","93","2.06","0.34"
"90","1317","2022-12-04","10:31:39","4","9gc8o","3","true","93","16.50","2.75"
"477","1317","2022-12-04","10:31:39","4","skexy","2","true","93","6.00","1.00"
"901","1317","2022-12-04","10:31:39","1","iu8mz","2.26","true","93","4.52","0.75"
"960","1317","2022-12-04","10:31:39","2","xfjts","4","true","93","0.80","0.13"
"76","1316","2022-12-22","17:33:02","5","ck5sb","4","true","48","6.80","1.13"
"122","1315","2022-12-02","10:50:24","2","qbzh7","2","true","51","5.00","0.83"
"554","1315","2022-12-02","10:50:24","2","qbzh7","3","true","51","7.50","1.25"
"766","1315","2022-12-02","10:50:24","4","fjl3q","4","true","51","0.80","0.13"
"820","1315","2022-12-02","10:50:24","3","9gc8o","5","true","51","27.50","4.58"
"184","1314","2022-12-07","15:24:28","2","ck5sb","4","true","62","6.80","1.13"
"245","1314","2022-12-07","15:24:28","2","j0ayn","5","true","62","7.50","1.25"
"647","1314","2022-12-07","15:24:28","2","xfjts","2","true","62","0.40","0.07"
"710","1314","2022-12-07","15:24:28","4","j0ayn","3","true","62","4.50","0.75"
"809","1314","2022-12-07","15:24:28","1","qbzh7","2","true","62","5.00","0.83"
"932","1314","2022-12-07","15:24:28","3","ck5sb","5","true","62","8.50","1.42"
"938","1314","2022-12-07","15:24:28","5","9gc8o","3","true","62","16.50","2.75"
"432","1313","2022-12-24","18:50:04","1","qmqeu","5","true","78","13.00","2.17"
"845","1313","2022-12-24","18:50:04","2","e02d7","3.34","true","78","0.33","0.05"
"194","1312","2022-12-04","15:29:07","4","ypf75","2.27","true","33","5.67","0.94"
